# 词组读音,只收「读音异于逐字默认」的条目 —— 那正是修多音字需要的。
# 从 pypinyin 的 large_pinyin 导出(参考实现用的同一份),勿手改。
㞎㞎	ba3 ba5
爪尖儿	zhua3 jian1 er5
爪机	zhua3 ji1
爪蟾	zhua3 chan2
爬挲	pa2 suo1
爱丽舍宫	ai4 li4 she4 gong1
爱乐	ai4 yue4
爱乐乐团	ai4 yue4 yue4 tuan2
爱人	ai4 ren5
爱人好士	ai4 ren2 hao4 shi4
爱他地	ai4 ta1 de5
爱冒险地	ai4 mao4 xian3 de5
爱国地	ai4 guo2 de5
爱好	ai4 hao4
爱好者	ai4 hao4 zhe3
爱子	ai4 zi3
爱将	ai4 jiang4
爱幻想地	ai4 huan4 xiang3 de5
爱怜地	ai4 lian2 de5
爱才好士	ai4 cai2 hao4 shi4
爱扯谎地	ai4 che3 huang3 de5
爱抚地	ai4 fu3 de5
爱梦想地	ai4 meng4 xiang3 de5
爱民如子	ai4 min2 ru2 zi3
爱游玩地	ai4 you2 wan2 de5
爱漂亮	ai4 piao4 liang5
爱爱	ai4 ai5
爱玉子	ai4 yu4 zi3
爱生恶死	ai4 sheng1 wu4 si3
爱生气地	ai4 sheng1 qi4 de5
爱睡地	ai4 shui4 de5
爱空想地	ai4 kong1 xiang3 de5
爱窝窝	ai4 wo1 wo5
爱素好古	ai4 su4 hao4 gu3
爱翫	ai4 wan4
爱藉	ai4 jie4
爱说话地	ai4 shuo1 hua4 de5
爱谁谁	ai4 shei2 shei2
爱远恶近	ai4 yuan3 wu4 jin4
爵士乐	jue2 shi4 yue4
爵士地	jue2 shi4 de5
爵士音乐	jue2 shi4 yin1 yue4
爵饧	jue2 xing2
父严子孝	fu4 yan2 zi3 xiao4
父丧	fu4 sang1
父为子隐	fu4 wei2 zi3 yin3
父债子还	fu4 zhai4 zi3 huan2
父子	fu4 zi3
父子兵	fu4 zi3 bing1
父子军	fu4 zi3 jun1
父慈子孝	fu4 ci2 zi3 xiao4
父析子荷	fu4 xi1 zi3 he2
爷们儿	ye2 men5 er5
爷孃	ye2 rang2
爷爷	ye2 ye5
爸比	ba3 bi2
爸爸	ba4 ba5
爹爹	die1 die5
爽口地	shuang3 kou3 de5
爽忒	shuang3 tui1
爽快	shuang3 kuai5
爽快地	shuang3 kuai4 de5
爽快地说	shuang3 kuai4 de5 shuo1
爽朗地	shuang3 lang3 de5
爽爽地	shuang3 shuang3 de5
爽直地	shuang3 zhi2 de5
爽缪	shuang3 miu4
片儿	pian1 er5
片儿会	pian1 er5 hui4
片儿汤	pian1 er5 tang1
片儿警	pian4 er5 jing3
片分类地	pian4 fen1 lei4 de5
片刻地	pian4 ke4 de5
片名	pian1 ming2
片头	pian1 tou2
片子	pian1 zi5
片子地	pian1 zi5 de5
片文只事	pian4 wen2 zhi1 shi4
片甲不还	pian4 jia3 bu4 huan2
片纸只字	pian4 zhi3 zhi1 zi4
片言只字	pian4 yan2 zhi1 zi4
片言只语	pian4 yan2 zhi1 yu3
片词只句	pian4 ci2 zhi1 ju4
片长	pian4 chang2
片长末技	pian4 chang2 mo4 ji4
片长薄技	pian4 chang2 bo2 ji4
片面地	pian4 mian4 de5
片面地看	pian4 mian4 de5 kan4
片鳞只甲	pian4 lin2 zhi1 jia3
版子	ban3 zi3
版轝	ban3 yu2
牌儿	pai2 er5
牌子曲	pai2 zi5 qu3
牌楼	pai2 lou5
牌长	pai2 chang2
牓子	bang3 zi3
牙幢	ya2 zhuang4
牙得	ya2 de5
牙椎	ya2 zhui1
牙欸	ya2 ai3
牙缝儿	ya2 feng4 er5
牙花子	ya2 hua1 zi3
牙行	ya2 hang2
牙龈	ya2 yin2
牙龈炎	ya2 yin2 yan2
牛只	niu2 zhi1
牛听弹琴	niu2 ting1 tan2 qin2
牛头㹴	niu2 tou2 geng3
牛头刨	niu2 tou2 bao4
牛头刨床	niu2 tou2 bao4 chuang2
牛头阿旁	niu2 tou2 e1 pang2
牛奶杮	niu2 nai3 bei4
牛子	niu2 zi3
牛子牌	niu2 zi3 pai2
牛折齿	niu2 she2 chi3
牛气	niu2 qi5
牛肉干	niu2 rou4 gan1
牛肚	niu2 du3
牛肝菌	niu2 gan1 jun4
牛脊肉	niu2 ji3 rou4
牛脊雨	niu2 ji3 yu3
牛脾气	niu2 pi2 qi5
牛鞅	niu2 yang4
牛首阿旁	niu2 shou3 e1 pang2
牛马襟裾	niu2 ma3 jin1 ju2
牛鬼少年	niu2 gui3 shao4 nian2
牟光	mu4 guang1
牟呼栗多	mu4 hu1 li4 duo1
牟子	mou2 zi3
牟尼	mu4 ni2
牟尼子	mu4 ni2 zi3
牟尼教	mu4 ni2 jiao4
牟尼珠	mu4 ni2 zhu1
牟平	mu4 ping2
牟平区	mu4 ping2 qu1
牟撷	mu4 xie2
牟槊	mu4 shuo4
牟牟	mu4 mu4
牟甲	mu4 jia3
牟盛	mu4 sheng4
牟知	mu4 zhi1
牟衫	mu4 shan1
牟贼	mu4 zei2
牟追	mu4 zhui1
牟食	mu4 shi2
牟麦	mu4 mai4
牡丹	mu3 dan5
牡丹乡	mu3 dan5 xiang1
牡丹亭	mu3 dan5 ting2
牡丹区	mu3 dan5 qu1
牡丹卡	mu3 dan5 ka3
牡丹坊	mu3 dan5 fang1
牡丹江	mu3 dan5 jiang1
牡丹江市	mu3 dan5 jiang1 shi4
牡丹皮	mu3 dan5 pi2
牡牛	mu4 niu2
牡蛤	mu3 ge2
牡钥	mu3 yue4
牢什古子	lao2 shi2 gu3 zi5
牢什子	lao2 shi2 zi5
牢切	lao2 qie1
牢剌	lao2 la4
牢固地	lao2 gu4 de5
牢子	lao2 zi3
牢实	lao2 shi5
牢牢地	lao2 lao2 de5
牢筴	lao2 jia1
牢藉	lao2 jie4
牢靠妥当	lao2 kao4 tuo3 dang4
牤子	mang1 zi3
牦靬	mao2 jian1
牧子	mu4 zi3
牧歌地	mu4 ge1 de5
牧歌般地	mu4 ge1 ban1 de5
牧犊子	mu4 du2 zi3
牧长	mu4 chang2
物什	wu4 shi2
物学地	wu4 xue2 de5
物尽其用	wu4 jin4 qi2 yong4
物曲	wu4 qu3
物稀为贵	wu4 xi1 wei2 gui4
物资供应	wu4 zi1 gong1 ying4
牯子	gu3 zi3
牲口	sheng1 kou5
牵丝傀儡	qian1 si1 kui3 lei3
牵子	qian1 zi3
牵强	qian1 qiang3
牵徬	qian1 bang4
牵拽	qian1 zhuai4
牵累	qian1 lei3
牵羊担酒	qian1 yang2 dan4 jiu3
牵裳	qian1 chang2
特乃子	te4 nai3 zi3
特兀	te4 wu1
特别地	te4 bie2 de5
特别地冻	te4 bie2 de5 dong4
特别地忙	te4 bie2 de5 mang2
特别地累	te4 bie2 de5 lei4
特别地酷	te4 bie2 de5 ku4
特务	te4 wu5
特勑	te4 lai4
特勒	te4 le4
特定地	te4 deng5 de5
特尔地木	te4 er3 de5 mu4
特征地	te4 zheng1 de5
特得	te4 de5
特徵	te4 zhi3
特性地	te4 xing4 de5
特意地	te4 yi4 de5
特意地看	te4 yi4 de5 kan4
特殊地	te4 shu1 de5
特煞	te4 sha4
特特为为	te4 te4 wei4 wei2
特色地	te4 se4 de5
特调	te4 tiao2
特长	te4 chang2
特长生	te4 chang2 sheng1
牺杓	xi1 shao2
牺牲地	xi1 sheng1 de5
牼翟	keng1 zhai2
犀仆	xi1 pu2
犀利地	xi1 li4 de5
犀椎	xi1 zhui1
犁牛之子	li2 niu2 zhi1 zi3
犁靬	li2 jian1
犂子	li2 zi3
犂牛之子	li2 niu2 zhi1 zi3
犂靬	li2 jian1
犆县	te4 xian4
犆牲	te4 sheng1
犊木子	du2 mu4 zi3
犊沐子	du2 mu4 zi3
犍为	qian2 wei2
犍为县	qian2 wei4 xian4
犍子	jian1 zi3
犍椎	jian1 zhui1
犟劲儿	jiang4 jin4 er5
犤牛	bai2 niu2
犬夜叉	quan3 ye4 cha4
犬子	quan3 zi3
犯不着	fan4 bu4 zhao2
犯了罪地	fan4 le5 zui4 de5
犯嘀咕	fan4 di2 gu5
犯得上	fan4 dei3 shang4
犯得着	fan4 de5 zhao2
犯罪目的	fan4 zui4 mu4 di4
犯罪行为	fan4 zui4 xing2 wei2
犯而不校	fan4 er2 bu4 jiao4
犯言直谏	fan4 yan2 zhi3 jian3
犯迕	fan4 wu3
状子	zhuang4 zi3
犹兀自	you2 wu1 zi4
犹子	you2 zi3
犹未为晚	you2 wei4 wei2 wan3
犹豫地	you2 yu4 de5
狂且	kuang2 ju1
狂为	kuang2 wei2
狂乱地	kuang2 luan4 de5
狂伧	kuang2 chen5
狂勷	kuang2 xiang1
狂喜地	kuang2 xi3 de5
狂天说地	kuang2 tian1 shuo1 de5
狂妄地	kuang2 wang4 de5
狂子	kuang2 zi3
狂怒地	kuang2 nu4 de5
狂想曲	kuang2 xiang3 qu3
狂文地	kuang2 wen2 de5
狂暴地	kuang2 bao4 de5
狂欢地	kuang2 huan1 de5
狂烈地	kuang2 lie4 de5
狂犬病地	kuang2 quan3 bing4 de5
狂獝	kuang2 yu4
狂瘈	kuang2 zhi4
狂缪	kuang2 miu4
狂蹶	kuang2 jue3
狂闇	kuang2 an1
狂闹地	kuang2 nao4 de5
狂风地	kuang2 feng1 de5
狂风怒号	kuang2 feng1 nu4 hao2
狂驰子	kuang2 chi2 zi3
狃忕	niu3 tai4
狄更斯	di2 geng1 si1
狋吽牙	yi2 ou1 ya2
狌狌	xing1 xing1
狌狞	xing1 ning2
狎处	xia2 chu3
狎翫	xia2 wan4
狐剌	hu2 la4
狐媚子	hu2 mei4 zi3
狐掖	hu2 ye4
狐狸	hu2 li5
狐狸座	hu2 li5 zuo4
狐狸精	hu2 li5 jing1
狐藉虎威	hu2 jie4 hu3 wei1
狐裘尨茸	hu2 qiu2 meng2 rong2
狐裘蒙茸	hu2 qiu2 meng2 rong2
狐襟貉袖	hu2 jin1 mo4 xiu4
狐貉	hu2 mo4
狓猖	pi1 chang1
狗仔子	gou3 zai3 zi3
狗咬耗子	gou3 yao3 hao4 zi3
狗子	gou3 zi3
狗曲	gou3 qu3
狗爪子	gou3 zhua3 zi3
狗狗	gou3 gou1
狗玩儿的	gou3 wan2 er5 de5
狗生角	gou3 sheng1 jue2
狗续侯冠	gou3 xu4 hou4 guan4
狗脊	gou3 ji3
狗舍	gou3 she4
狗蝇胡子	gou3 ying2 hu2 zi3
狗血	gou3 xie3
狗血淋漓	gou3 xie3 lin2 li2
狗蹦子	gou3 beng4 zi3
狗追耗子	gou3 zhui1 hao4 zi3
狗颠屁股	gou3 dian1 pi4 gu5
狗骨头	gou3 gu2 tou5
狙伺	ju1 si4
狞獝	ning2 yu4
狠切	hen3 qie1
狠毒地	hen3 du2 de5
狠狠地	hen3 hen3 de5
狠狠地打	hen3 hen3 de5 da3
狠狠地罚	hen3 hen3 de5 fa2
狠狠地说	hen3 hen3 de5 shuo1
狠狠地追	hen3 hen3 de5 zhui1
狠闇	hen3 an1
狡猾地	jiao3 hua2 de5
狡獝	jiao3 yu4
狡诈地	jiao3 zha4 de5
狡诈地笑	jiao3 zha4 de5 xiao4
狡黠地	jiao3 xia2 de5
狢子	he2 zi3
狧穅及米	shi4 kang1 ji2 mi3
独不见	du2 bu2 jian4
独个儿	du2 ge4 er5
独具只眼	du2 ju4 zhi1 yan3
独养子	du2 yang3 zi3
独创地	du2 chuang4 de5
独占地	du2 zhan4 de5
独处	du2 chu3
独处愁	du2 chu3 chou2
独奏曲	du2 zou4 qu3
独子	du2 zi3
独山子	du2 shan1 zi3
独山子区	du2 shan1 zi3 qu1
独得	du2 de5
独断地	du2 duan4 de5
独有千秋	du2 you4 qian1 qiu1
独生子	du2 sheng1 zi3
独生子女	du2 sheng1 zi3 nv3
独立地	du2 li4 de5
独立钻石	du2 li4 zuan4 shi2
独笋子	du2 sun3 zi3
独脚五通	du2 jiao3 wu3 tong4
独自个	du2 zi4 ge3
独自地	du2 zi4 de5
独裁地	du2 cai2 de5
独辟蹊径	du2 pi4 xi1 jing4
独院儿	du2 yuan4 er5
独鹄	du2 hu2
狭义地讲	xia2 yi4 de5 jiang3
狭义地说	xia2 yi4 de5 shuo1
狭斜子	xia2 xie2 zi3
狭窄地	xia2 zhai3 de5
狭邪子	xia2 xie2 zi3
狭长	xia2 chang2
狭隘地	xia2 ai4 de5
狮子乡	shi1 zi3 xiang1
狮子搏兔	shi1 zi3 bo2 tu4
狱子	yu4 zi3
狱子院家	yu4 zi3 yuan4 jia1
狱舍	yu4 she4
狷介之士	juan4 jie3 zhi1 shi4
狸狌	li2 xing1
狼仆	lang2 pu2
狼卜食	lang2 bu3 shi2
狼号鬼哭	lang2 hao2 gui3 ku1
狼嚎般地	lang2 hao2 ban1 de5
狼子	lang2 zi3
狼子兽心	lang2 zi3 shou4 xin1
狼子野心	lang2 zi3 ye3 xin1
狼狈为奸	lang2 bei4 wei2 jian1
狼狈地	lang2 bei4 de5
狼羔子	lang2 gao1 zi3
狼艰狈蹶	lang2 jian1 bei4 jue3
狼顾鸱跱	lang2 gu4 chi1 yin2
狼顾麕惊	lang2 gu4 qian1 jing1
狼飡虎咽	lang2 can1 hu3 yan1
猃猲	xian3 he4
猑蹏	kun1 di4
猖蹶	chang1 jue3
猗萎	yi1 wei3
猗靡	yi3 mi2
猘子	zhi4 zi3
猛乍地	meng3 zha4 de5
猛冲地	meng3 chong1 de5
猛力踩地	meng3 li4 cai3 de5
猛劲儿	meng3 jin4 er5
猛地	meng3 de5
猛地一动	meng3 de5 yi1 dong4
猛地一变	meng3 de5 yi1 bian4
猛地一愣	meng3 de5 yi1 leng4
猛地一把	meng3 de5 yi1 ba3
猛地一拉	meng3 de5 yi1 la1
猛地一看	meng3 de5 yi1 kan4
猛地一震	meng3 de5 yi1 zhen4
猛地一顿	meng3 de5 yi1 dun4
猛地住口	meng3 de5 zhu4 kou3
猛地关	meng3 de5 guan1
猛地发现	meng3 de5 fa1 xian4
猛地向上	meng3 de5 xiang4 shang4
猛地往下	meng3 de5 wang3 xia4
猛地想来	meng3 de5 xiang3 lai2
猛地想起	meng3 de5 xiang3 qi3
猛地扑到	meng3 de5 pu1 dao4
猛地扑打	meng3 de5 pu1 da3
猛地扔下	meng3 de5 reng1 xia4
猛地抓住	meng3 de5 zhua1 zhu4
猛地推开	meng3 de5 tui1 kai1
猛地站起	meng3 de5 zhan4 qi3
猛地缩小	meng3 de5 suo1 xiao3
猛地落下	meng3 de5 la4 xia4
猛地跪下	meng3 de5 gui4 xia4
猛地跳起	meng3 de5 tiao4 qi3
猛地转身	meng3 de5 zhuan3 shen1
猛地醒觉	meng3 de5 xing3 jue2
猛地闯入	meng3 de5 chuang3 ru4
猛子	meng3 zi3
猛孤丁地	meng3 gu1 ding1 de5
猛将	meng3 jiang4
猛拉地	meng3 la1 de5
猛烈地	meng3 lie4 de5
猛烈地刮	meng3 lie4 de5 gua1
猛然地	meng3 ran2 de5
猛犸	meng3 ma3
猛犸象	meng3 ma3 xiang4
猛省	meng3 xing3
猛进地	meng3 jin4 de5
猜三划五	cai1 san1 hua2 wu3
猜不透	cai1 bu5 tou4
猜中	cai1 zhong4
猜头儿	cai1 tou5 er5
猜度	cai1 duo2
猜得透	cai1 de5 tou4
猜忌地	cai1 ji4 de5
猜疑地	cai1 yi2 de5
猜着	cai1 zhao2
猜谜儿	cai1 mi2 er5
猜间	cai1 jian4
猝倒	cu4 dao3
猝然长逝	cu4 ran2 chang2 shi4
猢狲大王	hu2 sun1 dai4 wang2
猥亵地	wei3 xie4 de5
猥嫚	wei3 man4
猥孱	wei3 chan2
猥曲	wei3 qu3
猥朝侯	wei3 chao2 hou4
猥欸	wei3 ai3
猥璅	wei3 zao3
猥茸	wei3 rong2
猧子	wo1 zi3
猩猩	xing1 xing5
猪一般地	zhu1 yi4 ban1 de5
猪倌儿	zhu1 guan1 er5
猪卑狗险	zhu1 bei1 gou3 lian3
猪只	zhu1 zhi1
猪圈	zhu1 juan4
猪娃子	zhu1 wa2 zi3
猪婆子	zhu1 po2 zi3
猪尾巴	zhu1 wei3 ba5
猪尿泡	zhu1 sui1 pao4
猪尿脬	zhu1 sui1 pao1
猪扒	zhu1 pa2
猪牙子	zhu1 ya2 zi3
猪肚	zhu1 du3
猪肚儿	zhu1 du3 er5
猫月子	mao1 yue4 zi3
猫爪子	mao1 zhua3 zi5
猫眼儿	mao1 yan3 er5
猫腰	mao2 yao1
猫鼠同处	mao1 shu3 tong2 chu3
献供	xian4 gong4
献处	xian4 chu3
献曲	xian4 qu3
献殷勤地	xian4 yin1 qin2 de5
献生子	xian4 sheng1 zi3
猲狙	he4 ju1
猴儿崽子	hou2 er2 zai3 zi3
猴儿急	hou2 er5 ji2
猴儿精	hou2 er5 jing1
猴子似地	hou2 zi5 shi4 de5
猴巴崽子	hou2 ba1 zai3 zi3
猴查	hou2 zha1
猵狙	pian4 ju1
猷为	you2 wei2
猾子	hua2 zi3
猾长	hua2 chang2
猿嗛	yuan2 qian4
猿扳蛇折	yuan2 ban1 she2 she2
獝狂	yu4 kuang2
獝狘	yu4 xue4
獠子	liao2 zi3
獧子	juan4 zi3
獲伽狓	huo4 jia1 pi1
獶人	nao2 ren2
獶抆	nao2 wen3
獶杂	nao2 za2
獾子	huan1 zi3
獾脯	huan1 fu3
玄中子	xuan2 zhong1 zi3
玄元大夫	xuan2 yuan2 dai4 fu1
玄子	xuan2 zi3
玄干	xuan2 qian2
玄朴	xuan2 piao2
玄泊	xuan2 bo2
玄真子	xuan2 zhen1 zi3
玄舍	xuan2 she4
玄菟郡	xuan2 tu4 jun4
玄蛤	xuan2 ge2
玄裳	xuan2 chang2
玄酒瓠脯	xuan2 jiu3 hu4 fu3
玄鹄	xuan2 hu2
玅年	yao1 nian2
玅策	yao1 ce4
玅诀	yao1 jue2
玅选	yao1 xuan3
率以为常	shuai4 yi3 wei2 chang2
率先	shuai4 xian1
率兽食人	shuai4 shou4 shi2 ren2
率军	shuai4 jun1
率剌剌	lv4 la4 la4
率割	shuai4 ge1
率勒	lv4 le4
率土	shuai4 tu3
率土之滨	shuai4 tu3 zhi1 bin1
率土同庆	shuai4 tu3 tong2 qing4
率土宅心	shuai4 tu3 zhai2 xin1
率土归心	shuai4 tu3 gui1 xin1
率夺	shuai4 duo2
率尔	shuai4 er3
率尔成章	shuai4 er3 cheng2 zhang1
率尔操觚	shuai4 er3 cao1 gu1
率履	shuai4 lv3
率常	shuai4 chang2
率性	shuai4 xing4
率性任意	shuai4 xing4 ren4 yi4
率意	shuai4 yi4
率更	lv4 geng1
率更书	lv4 geng1 shu1
率更令	lv4 geng1 ling4
率更体	lv4 geng1 ti3
率服	shuai4 fu2
率然	shuai4 ran2
率由旧则	shuai4 you2 jiu4 ze2
率由旧章	shuai4 you2 jiu4 zhang1
率直	shuai4 zhi2
率直地	shuai4 zhi2 de5
率真	shuai4 zhen1
率礼	shuai4 li3
率舞	shuai4 wu3
率队	shuai4 dui4
率领	shuai4 ling3
率马以骥	shuai4 ma3 yi3 ji4
玉不琢	yu4 bu4 zhuo2
玉京子	yu4 jing1 zi3
玉佛	yu4 fo2
玉倒山颓	yu4 dao3 shan1 tui2
玉兔鹘	yu4 tu4 hu2
玉勒	yu4 le4
玉勒吏	yu4 le4 li4
玉卮无当	yu4 zhi1 wu2 dang4
玉参差	yu4 cen1 ci1
玉吐鹘	yu4 tu3 hu2
玉墄	yu4 qi1
玉子	yu4 zi3
玉尺量才	yu4 chi3 liang2 cai2
玉山倒	yu4 shan1 dao3
玉川子	yu4 chuan1 zi3
玉巵无当	yu4 zhi1 wu2 dang4
玉带版子	yu4 dai4 ban3 zi3
玉幢	yu4 zhuang4
玉折	yu4 she2
玉指甲	yu4 zhi3 jia2
玉斗	yu4 dou3
玉杓	yu4 shao2
玉枕藷	yu4 zhen3 zhu1
玉柈	yu4 pan2
玉栅	yu4 shan1
玉楼子	yu4 lou2 zi3
玉漏犹滴	yu5 lou5 you5 di5
玉琢	yu4 zhuo2
玉瑱	yu4 tian4
玉皛	yu4 jiao3
玉真子	yu4 zhen1 zi3
玉等子	yu4 deng3 zi3
玉篸	yu4 zan1
玉米糊糊	yu4 mi3 hu1 hu1
玉米花儿	yu4 mi3 hua1 er5
玉糁	yu4 shen1
玉糁羹	yu4 shen1 geng1
玉舃	yu4 tuo1
玉菌子	yu4 jun4 zi3
玉角子	yu4 jiao3 zi3
玉豉	yu4 chi3
玉质金相	yu4 zhi4 jin1 xiang4
玉軿	yu4 peng1
玉轝	yu4 yu2
玉钥	yu4 yue4
玉面狸	yu4 mian4 mai2
王世子	wang2 shi4 zi3
王侯将相	wang2 hou2 jiang4 xiang4
王八崽子	wang2 ba1 zai3 zi3
王八羔子	wang2 ba1 gao1 zi3
王后般地	wang2 hou4 ban1 de5
王天下	wang4 tian1 xia4
王子	wang2 zi3
王子乔	wang2 zi3 qiao2
王子侨	wang2 zi3 qiao2
王子晋	wang2 zi3 jin4
王子犯法	wang2 zi3 fan4 fa3
王子航	wang2 zi3 hang2
王子表	wang2 zi3 biao3
王孙公子	wang2 sun1 gong1 zi3
王尽美	wang2 jin4 mei3
王徐应刘	wang2 xu2 ying4 liu2
王有地	wang2 you3 de5
王正月	wang2 zheng1 yue4
王氏子	wang2 shi4 zi3
王甸	wang2 dian4
王舍	wang2 she4
王舍城	wang2 she4 cheng2
王葛	wang2 ge3
王蚥	wang2 fu3
王贡弹冠	wang2 gong4 dan4 guan4
王载	wang2 zai3
王长	wang2 chang2
玚珌	dang4 bi4
玚琫	dang4 beng3
玚花	yang2 hua1
玛曲	ma3 qu3
玛曲县	ma3 qu3 xian4
玟琁	min2 xuan2
玟砧	min2 zhen1
玩不起	wan2 bu5 qi3
玩乐地	wan2 le4 de5
玩偶似地	wan2 ou3 shi4 de5
玩儿	wan2 er5
玩儿不转	wan2 er2 bu4 zhuan4
玩儿命	wan2 er5 ming4
玩儿坏	wan2 er5 huai4
玩儿完	wan2 er5 wan2
玩儿得转	wan2 er5 de2 zhuan4
玩儿花招	wan2 er5 hua1 zhao1
玩兴	wan2 xing4
玩家角色	wan2 jia1 jue2 se4
玩意儿	wan2 yi4 er5
玩笑地	wan2 xiao4 de5
玩艺儿	wan2 yi4 er5
玩转	wan2 zhuan4
玫瑰念珠	mei2 gui5 nian4 zhu1
玫瑰茄	mei2 gui5 qie2
环伺	huan2 si4
环境上地	huan2 jing4 shang4 de5
环子	huan2 zi3
环形地	huan2 xing2 de5
环晕	huan2 yun4
环曲	huan2 qu3
环状地	huan2 zhuang4 de5
环瑱	huan2 tian4
环絙	huan2 geng1
环行地	huan2 xing2 de5
环遶	huan2 rao3
环钻	huan2 zuan4
现世地	xian4 shi4 de5
现代地	xian4 dai4 de5
现代式地	xian4 dai4 shi4 de5
现代音乐	xian4 dai4 yin1 yue4
现在为止	xian4 zai4 wei2 zhi3
现撇	xian4 pie3
现行地	xian4 xing2 de5
现象上地	xian4 xiang4 shang4 de5
玻璃丝	bo1 li5 si1
玻璃似地	bo1 li2 shi4 de5
玻璃化	bo1 li5 hua4
玻璃心	bo1 li5 xin1
玻璃春	bo1 li5 chun1
玻璃板	bo1 li5 ban3
玻璃江	bo1 li5 jiang1
玻璃球	bo1 li5 qiu2
玻璃砂	bo1 li5 sha1
玻璃砖	bo1 li5 zhuan1
玻璃管	bo1 li5 guan3
玻璃罩	bo1 li5 zhao4
玻色子	bo1 se4 zi3
玼吝	ci1 lin4
玼玼	ci1 ci1
玼瑕	ci1 xia2
玼颣	ci1 lei4
珍供	zhen1 gong4
珍奇地	zhen1 qi2 de5
珍翫	zhen1 wan4
珍贵地	zhen1 gui4 de5
珑珑兀兀	long2 long2 wu1 wu1
珠勒	zhu1 le4
珠宫贝阙	zhu1 gong1 bei4 que4
珠徙珠还	zhu1 xi3 zhu1 huan2
珠沉玉磒	zhu1 chen2 yu4 zi3
珠泪偷弹	zhu1 lei4 tou1 tan2
珠瑱	zhu1 tian4
珠蛤	zhu1 ge2
珠蠙	zhu1 bin1
珠还	zhu1 huan2
珠还合浦	zhu1 huan2 he2 pu3
珧铫	yao2 yao2
班什	ban1 shi2
班剥	ban1 bao1
班行	ban1 hang2
班辈儿	ban1 bei4 er5
珰子	dang1 zi3
珲春	hun2 chun1
珲春市	hun2 chun1 shi4
琀玉	han4 yu4
球地	qiu2 de5
球子	qiu2 zi3
球子菊	qiu2 zi3 ju2
球差	qiu2 cha1
球状地	qiu2 zhuang4 de5
琅孉	lang2 huan1
琅瑘	lang2 ye2
琅邪	lang2 ya2
琅邪台	lang2 ya2 tai2
琅铛	lang2 cheng1
理儿	li3 er5
理发	li3 fa4
理发厅	li3 fa4 ting1
理发员	li3 fa4 yuan2
理发师	li3 fa4 shi1
理发店	li3 fa4 dian4
理发院	li3 fa4 yuan4
理发馆	li3 fa4 guan3
理性地	li3 xing4 de5
理性知识	li3 xing4 zhi1 shi5
理性认识	li3 xing4 ren4 shi5
理想上地	li3 xiang3 shang4 de5
理想地	li3 xiang3 de5
理折	li3 she2
理智地	li3 zhi4 de5
理智地把	li3 zhi4 de5 ba3
理曲	li3 qu3
理解地笑	li3 jie3 de5 xiao4
理论上地	li3 lun4 shang4 de5
理论地	li3 lun4 de5
琉璃	liu2 li5
琐细地	suo3 xi4 de5
琐聒	suo3 guo1
琐蛣	suo3 jie2
琕琫	bing3 beng3
琢克	zhuo2 ke4
琢切	zhuo2 qie1
琢刻	zhuo2 ke4
琢削	zhuo2 xue1
琢句	zhuo2 ju4
琢治	zhuo2 zhi4
琢火	zhuo2 huo3
琢炼	zhuo2 lian4
琢琱	zhuo2 diao1
琢石	zhuo2 shi2
琢钉	zhuo2 ding1
琢钉戏	zhuo2 ding1 xi4
琢雕	zhuo2 diao1
琢饰	zhuo2 shi4
琥珀饧	hu3 po4 xing2
琱柈	diao1 pan2
琱琢	diao1 zhuo2
琱璚	diao1 jue2
琴曲	qin2 qu3
琴瑟不调	qin2 se4 bu4 tiao2
琴瑟失调	qin2 se4 shi1 tiao2
琴瑟调和	qin2 se4 tiao2 he2
琵琶	pi2 pa5
琵琶鱼	pi2 pa5 yu2
琼什	qiong2 shi2
琼楼金阙	qiong2 lou2 jin1 que4
琼毂	qiong2 gu1
琼畟	qiong2 ji1
瑑勒	zhuan4 le4
瑕玼	xia2 ci1
瑕瑜互见	xia2 yu2 hu4 xian4
瑕蛤	xia2 ge2
瑜伽	yu2 jia1
瑜伽宗	yu2 jia1 zong1
瑜伽行派	yu2 jia1 xing2 pai4
瑞应	rui4 ying4
瑞应泉	rui4 ying4 quan2
瑞应车	rui4 ying4 che1
瑞曲	rui4 qu3
瑟弄琴调	se4 nong4 qin2 tiao2
瑟调琴弄	se4 tiao2 qin2 nong4
瑟踧	se4 di2
瑱圭	tian4 gui1
瑱紞	tian4 dan3
瑳切	cuo1 qie1
瑶台银阙	yao2 tai2 yin2 que4
瑶池玉液	yao2 shi5 yu4 ye4
瑶篸	yao2 zan1
瑷珲条约	ai4 hun2 tiao2 yue1
璇霄丹阙	xuan2 xiao1 dan1 que4
璘藉	lin2 jie4
璧还	bi4 huan2
瓜子	gua1 zi3
瓜子仁儿	gua1 zi5 ren2 er5
瓜子儿	gua1 zi5 er5
瓜子儿脸	gua1 zi5 er5 lian3
瓜子玉	gua1 zi3 yu4
瓜子脸	gua1 zi3 lian3
瓜子金	gua1 zi3 jin1
瓜菹	gua1 zu1
瓜葛相连	gua1 ge3 xiang1 lian2
瓜蔓	gua1 wan4
瓜蔓抄	gua1 wan4 chao1
瓜蔓水	gua1 wan4 shui3
瓠子	hu4 zi3
瓠子歌	hu4 zi3 ge1
瓠脯	hu4 fu3
瓠菹	hu4 zu1
瓢杓	piao2 shao2
瓣儿	ban4 er5
瓤儿	rang2 er5
